study_id,experiment,participant,sex,species,phase,trial,condition,ostension,low_point,was_response_accurate,comments
moore2015production,2,kila,f,orangutan,test,13,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,kila,f,orangutan,test,13,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,kila,f,orangutan,test,13,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,kila,f,orangutan,test,14,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,kila,f,orangutan,test,14,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,kila,f,orangutan,test,14,reduced_ostension_direct_begging,,,yes,dropped_trials_(early_release)
moore2015production,2,kila,f,orangutan,test,15,ostensive_direct_begging,1.0,1.0,,
moore2015production,2,kila,f,orangutan,test,15,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,kila,f,orangutan,test,15,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,kila,f,orangutan,test,16,ostensive_direct_begging,1.0,1.0,,
moore2015production,2,kila,f,orangutan,test,16,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,kila,f,orangutan,test,16,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,kila,f,orangutan,test,17,ostensive_direct_begging,1.0,1.0,,
moore2015production,2,kila,f,orangutan,test,17,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,kila,f,orangutan,test,17,ostensive_human_pointing,,,yes,dropped_trials_(early_release)
moore2015production,2,kila,f,orangutan,test,18,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,kila,f,orangutan,test,18,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,kila,f,orangutan,test,18,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,padana,f,orangutan,test,1,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,padana,f,orangutan,test,1,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,padana,f,orangutan,test,1,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,padana,f,orangutan,test,2,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,2,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,padana,f,orangutan,test,2,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,3,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,3,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,padana,f,orangutan,test,3,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,4,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,padana,f,orangutan,test,4,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,padana,f,orangutan,test,4,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,5,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,padana,f,orangutan,test,5,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,padana,f,orangutan,test,5,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,padana,f,orangutan,test,6,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,6,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,padana,f,orangutan,test,6,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,7,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,padana,f,orangutan,test,7,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,padana,f,orangutan,test,7,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,padana,f,orangutan,test,8,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,8,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,padana,f,orangutan,test,8,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,padana,f,orangutan,test,9,ostensive_direct_begging,1.0,1.0,,
moore2015production,2,padana,f,orangutan,test,9,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,padana,f,orangutan,test,9,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,padana,f,orangutan,test,10,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,padana,f,orangutan,test,10,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,padana,f,orangutan,test,10,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,padana,f,orangutan,test,11,ostensive_direct_begging,1.0,1.0,,
moore2015production,2,padana,f,orangutan,test,11,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,padana,f,orangutan,test,11,reduced_ostension_direct_begging,0.0,1.0,,slow_incorrect_response_recoded_as_n/a
moore2015production,2,padana,f,orangutan,test,12,ostensive_direct_begging,1.0,1.0,,
moore2015production,2,padana,f,orangutan,test,12,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,padana,f,orangutan,test,12,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,padana,f,orangutan,test,13,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,13,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,padana,f,orangutan,test,13,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,14,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,14,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,padana,f,orangutan,test,14,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,padana,f,orangutan,test,15,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,15,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,padana,f,orangutan,test,15,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,padana,f,orangutan,test,16,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,16,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,padana,f,orangutan,test,16,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,17,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,17,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,padana,f,orangutan,test,17,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,18,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,padana,f,orangutan,test,18,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,padana,f,orangutan,test,18,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,pini,f,orangutan,test,1,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,1,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,pini,f,orangutan,test,1,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,2,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,pini,f,orangutan,test,2,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,pini,f,orangutan,test,2,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,pini,f,orangutan,test,3,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,pini,f,orangutan,test,3,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,pini,f,orangutan,test,3,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,pini,f,orangutan,test,4,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,4,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,pini,f,orangutan,test,4,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,5,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,5,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,pini,f,orangutan,test,5,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,pini,f,orangutan,test,6,ostensive_direct_begging,1.0,1.0,,
moore2015production,2,pini,f,orangutan,test,6,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,pini,f,orangutan,test,6,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,7,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,pini,f,orangutan,test,7,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,pini,f,orangutan,test,7,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,8,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,pini,f,orangutan,test,8,reduced_ostension_direct_begging,0.0,1.0,,slow_correct_response_recoded_as_n/a
moore2015production,2,pini,f,orangutan,test,8,ostensive_direct_begging,,,no,dropped_trials_(early_release)
moore2015production,2,pini,f,orangutan,test,9,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,9,ostensive_human_pointing,1.0,0.0,,slow_incorrect_response_recoded_as_n/a
moore2015production,2,pini,f,orangutan,test,9,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,10,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,pini,f,orangutan,test,10,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,10,ostensive_direct_begging,,,yes,dropped_trials_(early_release)
moore2015production,2,pini,f,orangutan,test,11,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,pini,f,orangutan,test,11,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,pini,f,orangutan,test,11,ostensive_direct_begging,,,no,dropped_trials_(early_release)
moore2015production,2,pini,f,orangutan,test,12,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,pini,f,orangutan,test,12,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,pini,f,orangutan,test,12,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,pini,f,orangutan,test,13,ostensive_direct_begging,1.0,1.0,,
moore2015production,2,pini,f,orangutan,test,13,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,pini,f,orangutan,test,13,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,14,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,14,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,pini,f,orangutan,test,14,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,15,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,15,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,pini,f,orangutan,test,15,reduced_ostension_direct_begging,0.0,1.0,,slow_incorrect_response_recoded_as_n/a
moore2015production,2,pini,f,orangutan,test,16,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,pini,f,orangutan,test,16,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,pini,f,orangutan,test,16,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,17,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,17,ostensive_human_pointing,,,yes,dropped_trials_(early_release)
moore2015production,2,pini,f,orangutan,test,17,reduced_ostension_direct_begging,,,yes,dropped_trials_(early_release)
moore2015production,2,pini,f,orangutan,test,18,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,pini,f,orangutan,test,18,ostensive_human_pointing,1.0,0.0,,slow_incorrect_response_recoded_as_n/a
moore2015production,2,pini,f,orangutan,test,18,reduced_ostension_direct_begging,0.0,1.0,,slow_incorrect_response_recoded_as_n/a
moore2015production,2,raja,f,orangutan,test,1,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,raja,f,orangutan,test,1,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,raja,f,orangutan,test,1,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,raja,f,orangutan,test,2,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,raja,f,orangutan,test,2,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,raja,f,orangutan,test,2,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,raja,f,orangutan,test,3,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,raja,f,orangutan,test,3,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,raja,f,orangutan,test,3,reduced_ostension_direct_begging,0.0,1.0,no,
moore2015production,2,raja,f,orangutan,test,4,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,raja,f,orangutan,test,4,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,raja,f,orangutan,test,4,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,raja,f,orangutan,test,5,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,raja,f,orangutan,test,5,ostensive_human_pointing,1.0,0.0,no,
moore2015production,2,raja,f,orangutan,test,5,reduced_ostension_direct_begging,0.0,1.0,,slow_incorrect_response_recoded_as_n/a
moore2015production,2,raja,f,orangutan,test,6,ostensive_direct_begging,1.0,1.0,yes,
moore2015production,2,raja,f,orangutan,test,6,ostensive_human_pointing,1.0,0.0,yes,
moore2015production,2,raja,f,orangutan,test,6,reduced_ostension_direct_begging,0.0,1.0,yes,
moore2015production,2,raja,f,orangutan,test,7,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,raja,f,orangutan,test,7,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,raja,f,orangutan,test,7,ostensive_direct_begging,,,no,dropped_trials_(early_release)
moore2015production,2,raja,f,orangutan,test,8,ostensive_direct_begging,1.0,1.0,no,
moore2015production,2,raja,f,orangutan,test,8,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,raja,f,orangutan,test,8,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,raja,f,orangutan,test,9,ostensive_direct_begging,1.0,1.0,,
moore2015production,2,raja,f,orangutan,test,9,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,raja,f,orangutan,test,9,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,raja,f,orangutan,test,10,ostensive_direct_begging,1.0,1.0,,
moore2015production,2,raja,f,orangutan,test,10,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,raja,f,orangutan,test,10,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,raja,f,orangutan,test,11,ostensive_direct_begging,1.0,1.0,,
moore2015production,2,raja,f,orangutan,test,11,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,raja,f,orangutan,test,11,reduced_ostension_direct_begging,0.0,1.0,,
moore2015production,2,raja,f,orangutan,test,12,ostensive_direct_begging,1.0,1.0,,
moore2015production,2,raja,f,orangutan,test,12,ostensive_human_pointing,1.0,0.0,,
moore2015production,2,raja,f,orangutan,test,12,reduced_ostension_direct_begging,0.0,1.0,yes,
