study_id,participant,age_original,age_in_years,sex,species,session,trial,condition,trap_side,correct
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,1,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,2,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,3,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,4,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,5,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,6,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,7,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,8,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,9,functional_trap,right,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,10,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,11,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,12,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,1,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,2,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,3,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,4,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,5,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,6,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,7,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,8,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,9,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,10,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,11,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,12,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,1,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,2,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,3,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,4,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,5,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,6,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,7,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,8,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,9,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,10,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,11,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,12,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,1,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,2,fake_trap,right,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,3,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,4,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,5,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,6,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,7,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,8,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,9,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,10,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,11,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,12,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,1,fake_trap,right,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,2,fake_trap,right,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,3,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,4,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,5,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,6,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,7,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,8,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,9,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,10,fake_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,11,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,12,fake_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,1,painted_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,2,painted_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,3,painted_trap,right,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,4,painted_trap,right,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,5,painted_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,6,painted_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,7,painted_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,8,painted_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,9,painted_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,10,painted_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,11,painted_trap,right,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,12,painted_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,1,painted_trap,left,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,2,painted_trap,right,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,3,painted_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,4,painted_trap,right,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,5,painted_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,6,painted_trap,left,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,7,painted_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,8,painted_trap,left,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,9,painted_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,10,painted_trap,left,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,11,painted_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,12,painted_trap,left,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,1,painted_trap,right,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,2,painted_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,3,painted_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,4,painted_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,5,painted_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,6,painted_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,7,painted_trap,right,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,8,painted_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,9,painted_trap,right,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,10,painted_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,11,painted_trap,left,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,3,12,painted_trap,right,0
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,1,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,2,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,3,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,4,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,5,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,6,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,7,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,8,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,9,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,10,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,11,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,1,12,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,1,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,2,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,3,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,4,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,5,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,6,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,7,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,8,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,9,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,10,functional_trap,left,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,11,functional_trap,right,1
martin2009assessing,viringika,132.0,11.0,f,gorilla,2,12,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,1,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,2,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,3,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,4,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,5,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,6,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,7,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,8,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,9,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,10,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,11,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,12,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,1,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,2,functional_trap,right,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,3,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,4,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,5,functional_trap,right,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,6,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,7,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,8,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,9,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,10,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,11,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,12,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,1,fake_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,2,fake_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,3,fake_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,4,fake_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,5,fake_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,6,fake_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,7,fake_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,8,fake_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,9,fake_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,10,fake_trap,left,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,11,fake_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,12,fake_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,1,fake_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,2,fake_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,3,fake_trap,right,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,4,fake_trap,right,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,5,fake_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,6,fake_trap,right,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,7,fake_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,8,fake_trap,right,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,9,fake_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,10,fake_trap,right,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,11,fake_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,12,fake_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,3,1,fake_trap,right,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,3,2,fake_trap,left,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,3,3,fake_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,3,4,fake_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,3,5,fake_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,3,6,fake_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,3,7,fake_trap,right,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,3,8,fake_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,3,9,fake_trap,left,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,3,10,fake_trap,left,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,3,11,fake_trap,right,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,3,12,fake_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,1,functional_trap,left,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,2,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,3,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,4,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,5,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,6,functional_trap,left,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,7,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,8,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,9,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,10,functional_trap,right,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,11,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,1,12,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,1,functional_trap,right,0
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,2,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,3,functional_trap,left,1
martin2009assessing,fifi,156.0,13.0,f,chimpanzee,2,4,functional_trap,right,1
