study_id,experiment,year,participant,age_in_years,sex,species,session_day,condition,number_banana_locations,number_locations_approached_banana,number_grape_locations,number_locations_approached_grape,relative_percentage_approached_banana,relative_percentage_approached_grape,number_revisited,percent_revisited
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,5.0,orange,,2.0,,0.0,0.2,0.0,,
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,6.0,orange,,0.0,,2.0,0.0,0.25,,
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,7.0,orange,,0.0,,1.0,0.0,0.13,,
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,8.0,orange,,0.0,,1.0,0.0,0.13,,
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,9.0,orange,,2.0,,0.0,0.2,0.0,,
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,10.0,orange,,1.0,,0.0,0.1,0.0,,
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,11.0,orange,,2.0,,1.0,0.2,0.1,,
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,12.0,orange,,2.0,,1.0,0.2,0.1,,
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,1.0,orange,,0.0,,0.0,0.0,0.0,,
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,2.0,orange,,0.0,,0.0,0.0,0.0,,
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,3.0,orange,,0.0,,0.0,0.0,0.0,,
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,4.0,orange,,1.0,,0.0,0.1,0.0,,
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,5.0,orange,,3.0,,1.0,0.3,0.13,,
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,6.0,orange,,2.0,,1.0,0.2,0.13,,
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,7.0,orange,,0.0,,0.0,0.0,0.0,,
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,8.0,orange,,1.0,,0.0,0.1,0.0,,
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,9.0,orange,,2.0,,0.0,0.2,0.0,,
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,10.0,orange,,2.0,,0.0,0.2,0.0,,
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,11.0,orange,,3.0,,0.0,0.3,0.0,,
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,12.0,orange,,0.0,,1.0,0.0,0.1,,
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,1.0,orange,,0.0,,0.0,0.0,0.0,,
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,2.0,orange,,0.0,,0.0,0.0,0.0,,
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,3.0,orange,,1.0,,0.0,0.1,0.0,,
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,4.0,orange,,0.0,,0.0,0.0,0.0,,
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,5.0,orange,,0.0,,0.0,0.0,0.0,,
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,6.0,orange,,0.0,,0.0,0.0,0.0,,
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,7.0,orange,,0.0,,0.0,0.0,0.0,,
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,8.0,orange,,4.0,,0.0,0.4,0.0,,
