study_id,experiment,experiment_name,year,participant,age_in_years,sex,role,participant_2,sex_2,role_2,dyad,species,session,trial,period,successful_reaching,entered_or_not,fight_with_fingers_in_box,latency_to_reach_or_touch
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,3.0,4.0,2.0,0.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,3.0,5.0,2.0,1.0,1.0,0.0,0.48
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,4.0,0.0,2.0,1.0,1.0,,3.36
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,4.0,1.0,2.0,1.0,1.0,0.0,0.32
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,4.0,2.0,2.0,1.0,1.0,0.0,0.52
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,4.0,3.0,2.0,1.0,1.0,0.0,0.64
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,4.0,4.0,2.0,1.0,1.0,1.0,0.76
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,limbuko,m,opponent,joey_limbuko,bonobo,4.0,5.0,2.0,1.0,1.0,0.0,0.68
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,3.0,0.0,2.0,1.0,1.0,,0.8
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,3.0,1.0,2.0,0.0,1.0,1.0,0.44
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,3.0,2.0,2.0,0.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,3.0,3.0,2.0,0.0,1.0,0.0,0.44
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,3.0,4.0,2.0,1.0,1.0,1.0,0.52
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,3.0,5.0,2.0,0.0,1.0,1.0,0.52
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,4.0,0.0,2.0,1.0,1.0,,0.84
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,4.0,1.0,2.0,0.0,1.0,0.0,0.24
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,4.0,2.0,2.0,1.0,1.0,0.0,0.64
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,4.0,3.0,2.0,0.0,1.0,1.0,0.44
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,4.0,4.0,2.0,0.0,1.0,1.0,0.36
uher2008coherence,5,food_competition_test,2005,joey,22.0,m,focal_participant,yasa,f,opponent,joey_yasa,bonobo,4.0,5.0,2.0,1.0,1.0,1.0,0.4
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,joey,m,opponent,kuno_joey,bonobo,3.0,0.0,2.0,1.0,1.0,,0.8
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,joey,m,opponent,kuno_joey,bonobo,3.0,1.0,2.0,1.0,1.0,0.0,0.36
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,joey,m,opponent,kuno_joey,bonobo,3.0,2.0,2.0,0.0,1.0,0.0,0.56
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,joey,m,opponent,kuno_joey,bonobo,3.0,3.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,joey,m,opponent,kuno_joey,bonobo,3.0,4.0,2.0,1.0,1.0,1.0,0.72
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,joey,m,opponent,kuno_joey,bonobo,3.0,5.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,joey,m,opponent,kuno_joey,bonobo,4.0,0.0,2.0,1.0,1.0,,1.64
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,joey,m,opponent,kuno_joey,bonobo,4.0,1.0,2.0,1.0,1.0,0.0,0.44
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,joey,m,opponent,kuno_joey,bonobo,4.0,2.0,2.0,0.0,1.0,1.0,0.52
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,joey,m,opponent,kuno_joey,bonobo,4.0,3.0,2.0,1.0,1.0,1.0,0.36
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,joey,m,opponent,kuno_joey,bonobo,4.0,4.0,2.0,1.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,joey,m,opponent,kuno_joey,bonobo,4.0,5.0,2.0,0.0,1.0,1.0,0.36
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,limbuko,m,opponent,kuno_limbuko,bonobo,3.0,0.0,2.0,1.0,1.0,,0.92
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,limbuko,m,opponent,kuno_limbuko,bonobo,3.0,1.0,2.0,0.0,1.0,1.0,0.56
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,limbuko,m,opponent,kuno_limbuko,bonobo,3.0,2.0,2.0,0.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,limbuko,m,opponent,kuno_limbuko,bonobo,3.0,3.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,limbuko,m,opponent,kuno_limbuko,bonobo,3.0,4.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,limbuko,m,opponent,kuno_limbuko,bonobo,3.0,5.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,limbuko,m,opponent,kuno_limbuko,bonobo,4.0,0.0,2.0,1.0,1.0,,0.92
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,limbuko,m,opponent,kuno_limbuko,bonobo,4.0,1.0,2.0,0.0,1.0,1.0,0.4
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,limbuko,m,opponent,kuno_limbuko,bonobo,4.0,2.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,limbuko,m,opponent,kuno_limbuko,bonobo,4.0,3.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,limbuko,m,opponent,kuno_limbuko,bonobo,4.0,4.0,2.0,1.0,1.0,1.0,0.52
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,limbuko,m,opponent,kuno_limbuko,bonobo,4.0,5.0,2.0,1.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,yasa,f,opponent,kuno_yasa,bonobo,3.0,0.0,2.0,1.0,1.0,,0.76
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,yasa,f,opponent,kuno_yasa,bonobo,3.0,1.0,2.0,0.0,1.0,0.0,0.48
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,yasa,f,opponent,kuno_yasa,bonobo,3.0,2.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,yasa,f,opponent,kuno_yasa,bonobo,3.0,3.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,yasa,f,opponent,kuno_yasa,bonobo,3.0,4.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,yasa,f,opponent,kuno_yasa,bonobo,3.0,5.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,yasa,f,opponent,kuno_yasa,bonobo,4.0,0.0,2.0,1.0,1.0,,0.52
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,yasa,f,opponent,kuno_yasa,bonobo,4.0,1.0,2.0,1.0,1.0,1.0,0.36
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,yasa,f,opponent,kuno_yasa,bonobo,4.0,2.0,2.0,0.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,yasa,f,opponent,kuno_yasa,bonobo,4.0,3.0,2.0,1.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,yasa,f,opponent,kuno_yasa,bonobo,4.0,4.0,2.0,1.0,1.0,1.0,0.4
uher2008coherence,5,food_competition_test,2005,kuno,8.0,m,focal_participant,yasa,f,opponent,kuno_yasa,bonobo,4.0,5.0,2.0,1.0,1.0,1.0,0.36
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,joey,m,opponent,limbuko_joey,bonobo,3.0,0.0,2.0,1.0,1.0,,1.16
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,joey,m,opponent,limbuko_joey,bonobo,3.0,1.0,2.0,1.0,1.0,0.0,
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,joey,m,opponent,limbuko_joey,bonobo,3.0,2.0,2.0,0.0,1.0,0.0,
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,joey,m,opponent,limbuko_joey,bonobo,3.0,3.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,joey,m,opponent,limbuko_joey,bonobo,3.0,4.0,2.0,1.0,1.0,0.0,0.48
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,joey,m,opponent,limbuko_joey,bonobo,3.0,5.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,joey,m,opponent,limbuko_joey,bonobo,4.0,0.0,2.0,1.0,1.0,,0.84
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,joey,m,opponent,limbuko_joey,bonobo,4.0,1.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,joey,m,opponent,limbuko_joey,bonobo,4.0,2.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,joey,m,opponent,limbuko_joey,bonobo,4.0,3.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,joey,m,opponent,limbuko_joey,bonobo,4.0,4.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,joey,m,opponent,limbuko_joey,bonobo,4.0,5.0,2.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,kuno,m,opponent,limbuko_kuno,bonobo,3.0,0.0,2.0,1.0,1.0,,0.36
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,kuno,m,opponent,limbuko_kuno,bonobo,3.0,1.0,2.0,1.0,1.0,1.0,0.56
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,kuno,m,opponent,limbuko_kuno,bonobo,3.0,2.0,2.0,1.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,kuno,m,opponent,limbuko_kuno,bonobo,3.0,3.0,2.0,1.0,1.0,0.0,0.64
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,kuno,m,opponent,limbuko_kuno,bonobo,3.0,4.0,2.0,1.0,1.0,0.0,0.72
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,kuno,m,opponent,limbuko_kuno,bonobo,3.0,5.0,2.0,1.0,1.0,0.0,0.32
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,kuno,m,opponent,limbuko_kuno,bonobo,4.0,0.0,2.0,1.0,1.0,,0.68
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,kuno,m,opponent,limbuko_kuno,bonobo,4.0,1.0,2.0,1.0,1.0,1.0,0.4
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,kuno,m,opponent,limbuko_kuno,bonobo,4.0,2.0,2.0,1.0,1.0,0.0,0.56
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,kuno,m,opponent,limbuko_kuno,bonobo,4.0,3.0,2.0,1.0,1.0,0.0,0.44
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,kuno,m,opponent,limbuko_kuno,bonobo,4.0,4.0,2.0,1.0,1.0,1.0,0.52
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,kuno,m,opponent,limbuko_kuno,bonobo,4.0,5.0,2.0,0.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,yasa,f,opponent,limbuko_yasa,bonobo,3.0,0.0,2.0,1.0,1.0,,0.4
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,yasa,f,opponent,limbuko_yasa,bonobo,3.0,1.0,2.0,1.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,yasa,f,opponent,limbuko_yasa,bonobo,3.0,2.0,2.0,0.0,1.0,1.0,0.4
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,yasa,f,opponent,limbuko_yasa,bonobo,3.0,3.0,2.0,0.0,1.0,1.0,0.36
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,yasa,f,opponent,limbuko_yasa,bonobo,3.0,4.0,2.0,1.0,1.0,0.0,0.12
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,yasa,f,opponent,limbuko_yasa,bonobo,3.0,5.0,2.0,0.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,yasa,f,opponent,limbuko_yasa,bonobo,4.0,0.0,2.0,1.0,1.0,,1.44
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,yasa,f,opponent,limbuko_yasa,bonobo,4.0,1.0,2.0,0.0,1.0,1.0,0.36
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,yasa,f,opponent,limbuko_yasa,bonobo,4.0,2.0,2.0,0.0,1.0,1.0,0.36
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,yasa,f,opponent,limbuko_yasa,bonobo,4.0,3.0,2.0,0.0,1.0,1.0,0.56
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,yasa,f,opponent,limbuko_yasa,bonobo,4.0,4.0,2.0,0.0,1.0,1.0,0.4
uher2008coherence,5,food_competition_test,2005,limbuko,9.0,m,focal_participant,yasa,f,opponent,limbuko_yasa,bonobo,4.0,5.0,2.0,0.0,1.0,1.0,0.6
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,joey,m,opponent,yasa_joey,bonobo,3.0,0.0,2.0,1.0,1.0,,0.48
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,joey,m,opponent,yasa_joey,bonobo,3.0,1.0,2.0,1.0,1.0,1.0,0.12
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,joey,m,opponent,yasa_joey,bonobo,3.0,2.0,2.0,1.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,joey,m,opponent,yasa_joey,bonobo,3.0,3.0,2.0,1.0,1.0,0.0,0.44
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,joey,m,opponent,yasa_joey,bonobo,3.0,4.0,2.0,0.0,1.0,1.0,0.52
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,joey,m,opponent,yasa_joey,bonobo,3.0,5.0,2.0,1.0,1.0,1.0,0.52
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,joey,m,opponent,yasa_joey,bonobo,4.0,0.0,2.0,1.0,1.0,,0.44
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,joey,m,opponent,yasa_joey,bonobo,4.0,1.0,2.0,1.0,1.0,0.0,0.24
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,joey,m,opponent,yasa_joey,bonobo,4.0,2.0,2.0,0.0,1.0,0.0,0.64
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,joey,m,opponent,yasa_joey,bonobo,4.0,3.0,2.0,1.0,1.0,1.0,0.44
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,joey,m,opponent,yasa_joey,bonobo,4.0,4.0,2.0,1.0,1.0,1.0,0.36
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,joey,m,opponent,yasa_joey,bonobo,4.0,5.0,2.0,0.0,1.0,1.0,0.4
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,kuno,m,opponent,yasa_kuno,bonobo,3.0,0.0,2.0,1.0,1.0,,0.44
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,kuno,m,opponent,yasa_kuno,bonobo,3.0,1.0,2.0,1.0,1.0,0.0,0.48
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,kuno,m,opponent,yasa_kuno,bonobo,3.0,2.0,2.0,0.0,1.0,0.0,0.4
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,kuno,m,opponent,yasa_kuno,bonobo,3.0,3.0,2.0,1.0,1.0,0.0,0.4
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,kuno,m,opponent,yasa_kuno,bonobo,3.0,4.0,2.0,1.0,1.0,0.0,0.36
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,kuno,m,opponent,yasa_kuno,bonobo,3.0,5.0,2.0,1.0,1.0,0.0,0.92
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,kuno,m,opponent,yasa_kuno,bonobo,4.0,0.0,2.0,1.0,1.0,,0.76
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,kuno,m,opponent,yasa_kuno,bonobo,4.0,1.0,2.0,0.0,1.0,1.0,0.36
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,kuno,m,opponent,yasa_kuno,bonobo,4.0,2.0,2.0,1.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,kuno,m,opponent,yasa_kuno,bonobo,4.0,3.0,2.0,1.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,kuno,m,opponent,yasa_kuno,bonobo,4.0,4.0,2.0,0.0,1.0,1.0,0.4
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,kuno,m,opponent,yasa_kuno,bonobo,4.0,5.0,2.0,0.0,1.0,1.0,0.36
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,limbuko,m,opponent,yasa_limbuko,bonobo,3.0,0.0,2.0,1.0,1.0,,0.48
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,limbuko,m,opponent,yasa_limbuko,bonobo,3.0,1.0,2.0,0.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,limbuko,m,opponent,yasa_limbuko,bonobo,3.0,2.0,2.0,1.0,1.0,1.0,0.4
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,limbuko,m,opponent,yasa_limbuko,bonobo,3.0,3.0,2.0,1.0,1.0,1.0,0.36
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,limbuko,m,opponent,yasa_limbuko,bonobo,3.0,4.0,2.0,0.0,1.0,0.0,1.16
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,limbuko,m,opponent,yasa_limbuko,bonobo,3.0,5.0,2.0,1.0,1.0,1.0,0.48
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,limbuko,m,opponent,yasa_limbuko,bonobo,4.0,0.0,2.0,1.0,1.0,,0.48
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,limbuko,m,opponent,yasa_limbuko,bonobo,4.0,1.0,2.0,1.0,1.0,1.0,0.36
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,limbuko,m,opponent,yasa_limbuko,bonobo,4.0,2.0,2.0,1.0,1.0,1.0,0.36
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,limbuko,m,opponent,yasa_limbuko,bonobo,4.0,3.0,2.0,1.0,1.0,1.0,0.56
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,limbuko,m,opponent,yasa_limbuko,bonobo,4.0,4.0,2.0,1.0,1.0,1.0,0.4
uher2008coherence,5,food_competition_test,2005,yasa,7.0,f,focal_participant,limbuko,m,opponent,yasa_limbuko,bonobo,4.0,5.0,2.0,1.0,1.0,1.0,0.6
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,1.0,0.0,1.0,1.0,1.0,0.0,6.32
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,1.0,1.0,1.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,1.0,2.0,1.0,0.0,0.0,,
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,1.0,3.0,1.0,0.0,1.0,0.0,0.88
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,1.0,4.0,1.0,1.0,1.0,0.0,0.76
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,1.0,5.0,1.0,1.0,1.0,0.0,0.52
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,2.0,0.0,1.0,1.0,1.0,0.0,1.0
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,2.0,1.0,1.0,1.0,1.0,0.0,0.8
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,2.0,2.0,1.0,1.0,1.0,0.0,0.76
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,2.0,3.0,1.0,1.0,1.0,0.0,1.04
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,2.0,4.0,1.0,1.0,1.0,0.0,0.64
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,2.0,5.0,1.0,1.0,1.0,0.0,0.76
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,3.0,0.0,1.0,1.0,1.0,0.0,0.8
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,3.0,1.0,1.0,1.0,1.0,0.0,0.6
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,3.0,2.0,1.0,1.0,1.0,0.0,0.76
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,3.0,3.0,1.0,1.0,1.0,0.0,0.48
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,3.0,4.0,1.0,0.0,1.0,0.0,0.52
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,fraukje,f,opponent,frodo_fraukje,chimpanzee,3.0,5.0,1.0,1.0,1.0,0.0,0.44
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,sandra,f,opponent,frodo_sandra,chimpanzee,1.0,0.0,1.0,,,,
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,sandra,f,opponent,frodo_sandra,chimpanzee,1.0,1.0,1.0,1.0,1.0,0.0,0.96
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,sandra,f,opponent,frodo_sandra,chimpanzee,1.0,2.0,1.0,1.0,1.0,0.0,0.56
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,sandra,f,opponent,frodo_sandra,chimpanzee,1.0,3.0,1.0,1.0,1.0,0.0,0.92
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,sandra,f,opponent,frodo_sandra,chimpanzee,1.0,4.0,1.0,1.0,1.0,0.0,0.72
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,sandra,f,opponent,frodo_sandra,chimpanzee,1.0,5.0,1.0,0.0,1.0,0.0,0.72
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,sandra,f,opponent,frodo_sandra,chimpanzee,2.0,0.0,1.0,1.0,1.0,0.0,2.32
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,sandra,f,opponent,frodo_sandra,chimpanzee,2.0,1.0,1.0,0.0,1.0,0.0,1.16
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,sandra,f,opponent,frodo_sandra,chimpanzee,2.0,2.0,1.0,1.0,1.0,0.0,0.64
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,sandra,f,opponent,frodo_sandra,chimpanzee,2.0,3.0,1.0,1.0,1.0,0.0,0.88
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,sandra,f,opponent,frodo_sandra,chimpanzee,2.0,4.0,1.0,1.0,1.0,0.0,0.92
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,sandra,f,opponent,frodo_sandra,chimpanzee,2.0,5.0,1.0,1.0,1.0,0.0,0.88
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,sandra,f,opponent,frodo_sandra,chimpanzee,3.0,0.0,1.0,1.0,1.0,0.0,1.08
uher2008coherence,5,food_competition_test,2005,frodo,11.0,m,focal_participant,sandra,f,opponent,frodo_sandra,chimpanzee,3.0,1.0,1.0,1.0,1.0,0.0,0.6
