study_id,experiment,year,month,day,date_of_arrival,participant,age_in_years,sex,species,location,trial,condition,alignment,correct_cup,correct_cup_position,choice,correct
haun2009great,4,2002,11,6,11/6/2002,kraba,30,f,orangutan,pasir_panjang,7.0,tubes,??,1,3,3,0.0
haun2009great,4,2002,11,6,11/6/2002,kraba,30,f,orangutan,pasir_panjang,13.0,tubes,??,1,3,2,1.0
haun2009great,4,2002,11,6,11/6/2002,kraba,30,f,orangutan,pasir_panjang,15.0,tubes,??,1,3,2,0.0
haun2009great,4,2002,6,29,6/29/2002,mercedes,18,f,orangutan,pasir_panjang,2.0,tubes,left,3,3,3,1.0
haun2009great,4,2002,6,29,6/29/2002,mercedes,18,f,orangutan,pasir_panjang,4.0,tubes,left,3,3,3,1.0
haun2009great,4,2002,6,29,6/29/2002,mercedes,18,f,orangutan,pasir_panjang,8.0,tubes,left,3,3,2,0.0
haun2009great,4,2002,6,29,6/29/2002,mercedes,18,f,orangutan,pasir_panjang,14.0,tubes,left,3,3,3,1.0
haun2009great,4,2002,6,29,6/29/2002,mercedes,18,f,orangutan,pasir_panjang,15.0,tubes,left,3,3,3,1.0
haun2009great,4,2002,6,29,6/29/2002,mercedes,18,f,orangutan,pasir_panjang,18.0,tubes,left,3,3,3,1.0
haun2009great,4,2003,5,31,5/31/2003,pilar,30,f,orangutan,pasir_panjang,1.0,tubes,right,1,3,2,0.0
haun2009great,4,2003,5,31,5/31/2003,pilar,30,f,orangutan,pasir_panjang,2.0,tubes,right,1,3,1,1.0
haun2009great,4,2003,5,31,5/31/2003,pilar,30,f,orangutan,pasir_panjang,5.0,tubes,right,1,3,1,1.0
haun2009great,4,2003,5,31,5/31/2003,pilar,30,f,orangutan,pasir_panjang,9.0,tubes,right,1,3,1,1.0
haun2009great,4,2003,5,31,5/31/2003,pilar,30,f,orangutan,pasir_panjang,11.0,tubes,right,1,3,1,1.0
haun2009great,4,2003,5,31,5/31/2003,pilar,30,f,orangutan,pasir_panjang,18.0,tubes,right,1,3,1,1.0
haun2009great,4,2004,8,8,8/8/2004,sallie,54,f,orangutan,pasir_panjang,1.0,tubes,right,1,3,2,0.0
haun2009great,4,2004,8,8,8/8/2004,sallie,54,f,orangutan,pasir_panjang,5.0,tubes,right,1,3,1,1.0
haun2009great,4,2004,8,8,8/8/2004,sallie,54,f,orangutan,pasir_panjang,10.0,tubes,right,1,3,1,1.0
haun2009great,4,2004,8,8,8/8/2004,sallie,54,f,orangutan,pasir_panjang,12.0,tubes,right,1,3,1,1.0
haun2009great,4,2004,8,8,8/8/2004,sallie,54,f,orangutan,pasir_panjang,13.0,tubes,right,1,3,2,1.0
haun2009great,4,2004,8,8,8/8/2004,sallie,54,f,orangutan,pasir_panjang,15.0,tubes,right,1,3,1,1.0
